,cluster_label,price_per_stay,review_scores_rating,Neighborhood,Property,Room Type
231,4,220.0,93,North Hills,Apartment,Private room
232,5,220.0,100,Mira Mesa,Condominium,Private room
233,4,210.0,100,Rancho Bernadino,House,Private room
234,0,207.0,96,Clairemont Mesa,Guest suite,Entire home/apt
235,4,200.0,94,La Jolla,Dome house,Private room
236,4,200.0,94,La Jolla,Villa,Private room
237,5,200.0,96,Marina,Apartment,Entire home/apt
238,4,200.0,97,Balboa Park,Apartment,Entire home/apt
239,1,200.0,94,Clairemont Mesa,Apartment,Private room
240,4,200.0,100,Rolando,Guesthouse,Entire home/apt
241,4,200.0,95,East Village,Apartment,Private room
242,1,200.0,80,East Village,Apartment,Private room
243,5,200.0,96,Core,Apartment,Shared room
244,4,200.0,100,Old Town,Apartment,Private room
245,5,197.0,98,Midtown,House,Private room
246,3,195.0,92,Bay Park,House,Private room
247,1,195.0,75,University City,House,Private room
248,4,195.0,99,University City,Condominium,Private room
249,4,195.0,100,Pacific Beach,Condominium,Private room
250,4,192.0,97,Mira Mesa,House,Private room
251,4,190.0,92,College Area,Apartment,Private room
252,4,190.0,96,College Area,Apartment,Private room
253,4,190.0,98,College Area,House,Private room
254,4,185.0,80,Rancho Penasquitos,House,Private room
255,3,180.0,88,Roseville,House,Private room
256,4,180.0,95,La Jolla,House,Private room
257,4,180.0,93,Linda Vista,House,Private room
258,4,180.0,100,Clairemont Mesa,House,Private room
259,5,180.0,99,Bay Park,House,Private room
260,5,177.0,100,Normal Heights,House,Private room
261,4,175.0,97,Bird Land,House,Private room
262,5,175.0,98,Mission Valley,Condominium,Shared room
263,5,168.0,100,Linda Vista,House,Private room
264,4,165.0,100,Ocean Beach,Apartment,Private room
265,4,165.0,93,University City,House,Private room
266,4,160.0,100,Mira Mesa,Apartment,Private room
267,4,160.0,93,Pacific Beach,Apartment,Private room
268,4,160.0,100,Ocean Beach,Cottage,Private room
269,4,160.0,100,East Village,Apartment,Private room
270,5,160.0,98,Old Town,Apartment,Private room
271,4,160.0,100,University City,Apartment,Private room
272,4,160.0,96,Mission Bay,Apartment,Private room
273,4,160.0,100,North Hills,House,Private room
274,4,160.0,98,Bay Terrace,Townhouse,Private room
275,4,160.0,100,Mira Mesa,House,Private room
276,4,152.0,97,Midtown,Apartment,Entire home/apt
277,5,150.0,98,North Hills,House,Private room
278,5,150.0,97,Balboa Park,House,Private room
279,5,150.0,100,North Hills,Apartment,Private room
280,4,150.0,99,Clairemont Mesa,House,Private room
281,4,150.0,98,College Area,Apartment,Shared room
282,5,150.0,97,North Clairemont,House,Private room
283,0,150.0,97,City Heights West,Apartment,Entire home/apt
284,4,150.0,99,North Clairemont,House,Private room
285,5,150.0,80,East Village,Condominium,Private room
286,5,150.0,90,University City,Apartment,Shared room
287,5,150.0,100,Scripps Ranch,Condominium,Private room
288,5,150.0,98,Linda Vista,Townhouse,Private room
289,4,150.0,100,Lake Murray,House,Private room
290,4,150.0,90,Ocean Beach,Townhouse,Private room
291,5,150.0,80,Gaslamp Quarter,Guesthouse,Private room
292,5,150.0,80,North Hills,Apartment,Private room
293,4,150.0,87,College Area,House,Private room
294,0,150.0,95,La Jolla,Cottage,Private room
295,4,150.0,100,Loma Portal,Condominium,Private room
296,4,150.0,80,Carmel Valley,Condominium,Private room
297,4,150.0,98,Darnall,House,Private room
298,4,150.0,99,Rancho Bernadino,Bed and breakfast,Private room
299,4,148.0,100,Bay Ho,Tiny house,Private room
300,0,147.0,99,Bay Park,House,Private room
301,3,147.0,97,Bay Park,House,Private room
302,4,147.0,100,Rolando,House,Private room
303,0,147.0,96,Linda Vista,House,Private room
304,4,147.0,99,Linda Vista,Bed and breakfast,Private room
305,4,147.0,100,North Clairemont,House,Private room
306,5,145.0,90,Mission Valley,Condominium,Private room
307,4,144.0,94,University City,House,Private room
308,0,140.0,97,Midtown,Guesthouse,Entire home/apt
309,5,140.0,96,University City,Apartment,Private room
310,4,140.0,95,Webster,House,Private room
311,4,140.0,97,La Jolla Village,Townhouse,Private room
312,4,140.0,100,La Jolla Village,Townhouse,Private room
313,5,140.0,100,South Park,House,Private room
314,5,140.0,100,Loma Portal,Apartment,Private room
315,4,140.0,99,Mira Mesa,Other,Private room
316,4,140.0,98,College Area,House,Private room
317,4,140.0,100,El Cerritos,House,Private room
318,0,138.0,97,Bay Park,House,Private room
319,5,138.0,98,Ocean Beach,Apartment,Private room
320,0,138.0,100,Ocean Beach,Guest suite,Entire home/apt
321,4,138.0,100,Paradise Hills,House,Private room
322,4,136.0,86,Linda Vista,House,Private room
323,4,135.0,100,Mira Mesa,Guesthouse,Private room
324,5,135.0,93,Scripps Ranch,House,Private room
325,4,135.0,100,Midtown,House,Private room
326,4,134.0,98,Northwest,Earth house,Entire home/apt
327,4,134.0,93,Serra Mesa,Guest suite,Entire home/apt
328,0,130.0,100,Linda Vista,Townhouse,Private room
329,0,130.0,99,Ocean Beach,Guesthouse,Entire home/apt
330,5,130.0,100,Nestor,Apartment,Shared room
331,4,130.0,98,Balboa Park,House,Private room
332,4,130.0,98,Cortez Hill,House,Private room
333,0,130.0,99,Pacific Beach,House,Private room
334,5,130.0,98,Loma Portal,Townhouse,Private room
335,4,130.0,100,Bay Ho,Apartment,Private room
336,5,130.0,100,Core,Loft,Private room
337,4,130.0,100,Serra Mesa,House,Private room
338,4,130.0,96,West University Heights,Apartment,Private room
339,4,130.0,100,University City,House,Private room
340,4,126.0,85,North Clairemont,House,Private room
341,4,126.0,93,Sky Line,House,Private room
342,4,126.0,98,Midtown,House,Shared room
343,5,125.0,93,Normal Heights,House,Private room
344,5,125.0,99,Carmel Valley,Apartment,Private room
345,4,125.0,100,Midtown,Apartment,Entire home/apt
346,5,125.0,96,Core,Condominium,Private room
347,5,124.0,100,Chollas View,House,Private room
348,4,123.0,100,Carmel Valley,House,Private room
349,4,122.0,100,Park West,House,Private room
350,5,120.0,100,East Village,Apartment,Private room
351,5,120.0,97,Sorrento Valley,House,Private room
352,4,120.0,98,Mira Mesa,House,Private room
353,0,120.0,96,East Village,Loft,Private room
354,4,120.0,97,Pacific Beach,House,Shared room
355,4,120.0,97,Pacific Beach,House,Shared room
356,5,120.0,97,Pacific Beach,Apartment,Private room
357,5,120.0,100,Bay Ho,Townhouse,Private room
358,4,120.0,96,Rolando,House,Private room
359,4,120.0,99,Lake Murray,House,Private room
360,4,120.0,80,Pacific Beach,Condominium,Private room
361,4,120.0,98,San Carlos,House,Private room
362,4,120.0,90,Marina,Loft,Private room
363,4,120.0,100,Rancho Penasquitos,Condominium,Private room
364,4,120.0,100,Gateway,House,Private room
365,4,120.0,98,Normal Heights,Apartment,Shared room
366,4,118.0,97,Clairemont Mesa,Bungalow,Private room
367,5,118.0,98,Balboa Park,Bungalow,Private room
368,0,118.0,98,Mission Bay,Apartment,Private room
369,4,118.0,100,North Clairemont,House,Private room
370,5,118.0,100,Talmadge,House,Entire home/apt
371,4,118.0,95,Loma Portal,House,Private room
372,4,118.0,92,Loma Portal,House,Private room
373,4,118.0,98,Loma Portal,Apartment,Shared room
374,4,118.0,100,Rolando,House,Private room
375,5,117.0,100,Normal Heights,House,Private room
376,4,117.0,98,Rancho Penasquitos,House,Private room
377,4,117.0,96,Carmel Mountain,Condominium,Private room
378,4,117.0,98,Linda Vista,House,Private room
379,5,117.0,95,East Village,Apartment,Private room
380,4,116.0,98,Moreno Mission,Apartment,Private room
381,5,115.0,100,Pacific Beach,Apartment,Private room
382,0,114.0,97,Palm City,House,Private room
383,0,114.0,95,Balboa Park,House,Private room
384,4,114.0,99,Linda Vista,House,Private room
385,4,111.0,95,Palm City,Guesthouse,Private room
386,4,110.0,98,Mira Mesa,House,Private room
387,0,110.0,97,Kearny Mesa,Bungalow,Private room
388,5,110.0,100,University City,Apartment,Shared room
389,4,110.0,93,Scripps Ranch,Townhouse,Private room
390,4,110.0,98,Bay Ho,Apartment,Private room
391,5,110.0,99,Carmel Valley,House,Private room
392,5,110.0,100,Allied Gardens,House,Private room
393,5,110.0,100,North Hills,Apartment,Entire home/apt
394,4,110.0,98,Mission Bay,House,Private room
395,4,110.0,100,Scripps Ranch,House,Private room
396,4,110.0,97,University City,Townhouse,Private room
397,4,108.0,100,Palm City,House,Private room
398,4,108.0,100,Palm City,House,Private room
399,5,105.0,98,Rancho Bernadino,Townhouse,Private room
400,4,105.0,98,North Clairemont,House,Private room
401,5,102.0,100,Loma Portal,House,Private room
402,5,102.0,98,Midtown,Apartment,Shared room
403,0,100.0,99,College Area,House,Entire home/apt
404,5,100.0,100,Ocean Beach,Apartment,Private room
405,5,100.0,100,Old Town,Apartment,Private room
406,5,100.0,96,Core,Apartment,Private room
407,4,100.0,100,Bay Park,House,Private room
408,4,100.0,98,Linda Vista,House,Private room
409,4,100.0,99,Midtown,Apartment,Private room
410,4,100.0,100,Mira Mesa,House,Private room
411,4,100.0,94,Northwest,House,Private room
412,4,100.0,99,Rolando,House,Private room
413,1,100.0,85,Southwest,Apartment,Private room
414,5,100.0,97,Encanto,House,Private room
415,4,100.0,100,Rancho Bernadino,House,Private room
416,4,100.0,96,Gaslamp Quarter,Apartment,Private room
417,4,100.0,95,Park West,Condominium,Entire home/apt
418,4,99.0,84,Gaslamp Quarter,Other,Private room
419,4,99.0,98,Serra Mesa,Condominium,Private room
420,4,99.0,93,Mission Bay,House,Private room
421,4,98.0,99,North Hills,Bungalow,Private room
422,4,98.0,98,North Hills,House,Private room
423,5,98.0,100,Rancho Penasquitos,House,Private room
424,5,98.0,97,Pacific Beach,House,Private room
425,4,97.0,93,La Jolla,Apartment,Private room
426,4,96.0,96,University City,House,Private room
427,5,95.0,96,Mission Bay,House,Private room
428,4,95.0,100,Midtown,Guest suite,Entire home/apt
429,4,95.0,96,Lake Murray,House,Private room
430,4,95.0,100,Park West,Apartment,Private room
431,5,94.0,94,La Jolla,Apartment,Private room
432,4,93.0,98,Clairemont Mesa,House,Private room
